"Year","Topic","Notes","Exact Date","Citation","Tags"
"1763","Dartmouth's library collection","twenty volumes from William Dickson (six years before Dartmouth acquired its charter)","","Clemons 2","forerunners, donations"
"1750","King's College, which became Columbia","fine library of Hon. Joseph Murray","","Clemons 2","forerunners, donations"
"1750","Governor Jonathan Belcher gift to Princeton","shortly after opening as College of New Jersey https://library.princeton.edu/about/history","","Clemons 2","forerunners, donations"
"1740","founding of University of Pennsylvania","inherited from Benjamin Franklin's Academy","","Clemons 2","forerunners, donations"
"1734","Virginia General Assembly taxed liquor to buy books","for William and Mary; a penny a gallon on imported liquors ""provided that some part thereof should be spent in books."" ","","Clemons 3","taxes, forerunners, purchases"
"1701","founding of Yale","books pooled by local ministers","","Clemons 2","donations, forerunners"
"1825","objections to Professors required presence","Jefforson admonition: ""Indulgences must depend on yourself, on whom it is incumbent so to preserve the arrangement of the books under your care as never to disappoint applicants by inability to find them.  A library in cofusion loses uch of its utility."" ","","Clemons 16","collectionUsage,"
"1825","recruitment raise for Librarian","tripled, $50 a year to $150","March 1825","Clemons 16","recruitment, salary"
"1872","funds for appropriations down to $200","","1872-1873","Clemons 42",""
"1866","Please for funds for the new schools in 1861-65 brought $2,000 for 1866-67","","1866-1867","Clemons 42",""
"1882","School of History and General Literature divided into Schools of History and English Literature","","","Clemons 42",""
"1881","School of Astronomy opened","with donation from Leander J. McCormick","","Clemons 42",""
"1879","began School of Geology","","","Clemons 42",""
"1869","Miller Fund paid to open School of Agriculture","","","Clemons 42",""
"1867","established School of Applied Mathematics","","","Clemons 41",""
"1861","George Frederick Holmes, Prof. of History and Gen. Lit., proposes archiving the ""disruption""","recounts value of historical papers and argues that the library should collect info abxout the way; recognized by Faculty and Hon. Simon Cameron, Secr. War for Lincoln, but didn't result in any collections: they ended up at the Boston Athenaeum","1 March 1861","Clemons 39-40","socialJustice"
"1864","Faculty recommended that Visitors make-up appropriations and have discretionary authority to remove the books to places that should be safe if enemy incursions seemed imminent","doesn't happen during invasion of March 1865","end of 1863-64 term","Clemons 38",""
"1863","Library Committee of BoV report a positive inspection of Library, but a leak in the Rotunda, recommends all books brought back at a particular hour each week","","July 1863","Clemons 38",""
"1861","School of Military Science opened and BoV asked library to be open two hours daily during a vacation period for them","","","Clemons 38",""
"1861","appropriations for the purchase of books suspended","","May 1861","Clemons 38",""
"1862","BoV authorizes the Executive Committee to appoint a librarian, but does not","""whenever in their judgment it may be proper""","September 1862","Clemons 38",""
"1865","Robert Riddick Prentis ends term as acting director","","","Clemons 37",""
"1865","BoV suspends library Proctor position","","6 July 1865","Clemons 42",""
"1865","Rector, Chairman, and Minor met with a flag of truce to ask Generals Custer and Sheridan to spare the University","no looting or destruction","March 1865","Clemons 36",""
"1862","military commandeered some University buildings for hospitals","","summer 1862","Clemons 35",""
"1861","State of Virginia secedes","Faculty had debated this: John B. Minor for remain; James P. Holcombe for secede","April 1861","Clemons 34",""
"1861","approximately 30,000 volumes","","","Clemons 32",""
"1861","Librarian Holcombe granted leave and does not return","","December 1861","Clemons 32",""
"1861","Librarian's salary dropped to $600 because of War","","July 1861","Clemons 32",""
"1861","library appropriation suspended because of the War","","May 1861","Clemons 32",""
"1860","BoV increases Librarian's salary to $1,000","recognizing the achievement of a catalog","","Clemons 32",""
"1858","BoV ammends Gildersleeve plan for catalog to include date, edition, and size","avoided decision as to what might be rare","September 1858","Clemons 31",""
"1857","Faculty appoints special committee to develop plan for catalog","Professor Gildersleeve had a solution in December; appointed by this committee: author-title for all books in longhand, details only for ""rare"" books","October 1857","Clemons 31",""
"1857","BoV ammends order for catalog based on plan with Faculty","previously followed Smithsonian, now collaborate with faculty and BoV; proficiency of Faculty recognized","June 1857","Clemons 31",""
"1856","BoV ordered catalog compiled on the model of the Smithsonian Institution","based on Charles C. Jewett's organization at Smithsonias","June 1856","Clemons 31",""
"1859","Librarian Holcombe communicated directly with Faculty","previously, through committees, but concerned about ""propriety"" and new bookcases","","Clemons 31",""
"1903","John Shelton Patton appointed librarian","noted for devotion to literary studies, but not the previous few","","Clemons 30",""
"1857","Thomas Berkeley Holcombe appointed librarian","to take office September of that year, brother of James Philemon Holcombe, Law Professor; had aspirations towards authorship; first person not a student","June 1857","Clemons 30","librarians,"
"1857","BoV votes to separate librarian from other posts","preference for professionals, not students ""to graduates [not students] of the University who were desiring to devote themselves to literary studies.""","June 1857","Clemons 29",""
"1857","Wertenbaker, Librarian's, salary $600","","","Clemons 28",""
"1826","Wertenbaker's salary was $150","","","Clemons 28",""
"1856","BoV voted to employ ""a competent Bibliographer""","to prepare a list of all publications, i.e. ""Thomas Jefferson II""; but Faculty regarded themselves as experts, four days later faculty protested; bibliographer dropped a year later when faculty had prepared the lists; point was that the faculty could do it","June 1856","Clemons 28",""
"1851","BoV publishes Thomas Jefferson's *Essay Towards facilitating Instruction in the Anglo-Saxon* and distributes it to many libraries","distributed to many libraries","","Clemons 27",""
"1859","College of William and Mary library destroyed by fire and duplicates from UVa donated","","two years before that date [1861]","Clemons 27",""
"1861","fire started on cornice of Rotunda","students kept the damage at a minimum, two years earlier College of William and Mary had been destroyed by fire","March 1861","Clemons 27","fires,"
"1861","the Young Men's Christian Association transfers some books to a reading room at number fourteen on the West lawn","","","Clemons 27",""
"1848","School of Law gets special appropriation from BoV for $500 for law books, but not separate location","","","Clemons 27",""
"1837","BoV approved that some medical books be moved to the Anatomical Theater","two years later, BoV directed that these be returned","","Clemons 26",""
"1850s","School of History and General Literature stimulated interest in library","","","Clemons 26",""
"1882","School of English Literature established","","","Clemons 26",""
"1836","books donated by Christian Bohn, special faculty committee appointed to examine books, plea for BoV to fund rebinding of periodicals","brother of Henry Bohn, mixed collection of several thousand items","about the time that Madison's bequests first became known (1836?)","Clemons 25",""
"1854","Librarian, William Wertenbaker, took 587 volumes from Montpellier","had been donated in 1836, but held up by John Payne Todd's disorganization; with a legal advisor from BoV","","Clemons 24",""
"1836","Madison donates books to the library that his widow didn't want","but doesn't move forward until June 1854","","Clemons 24",""
"1852","funds from Madison's request become available to the library","bequest from 1836","","Clemons 24",""
"1836","first endowment for the Library","from James Madison, bequest of $1,500, just merged with general fund, funds for library in 1852","","Clemons 24",""
"1825","Lee Papers donated by Richard Henry Lee, Jr.","approximate, incuded many other Lees: diplomats, signers of the Declaration, etc.","probably the first session","Clemons 23",""
"1845","BoV took action ""to have a suitable press made"" for preservation","","","Clemons 23",""
"1828","catalog listed 43 donors","","","Clemons 23",""
"1830","Professor Dunglison writes to Joseph Carrington Cabel, not up to date","""It is utterly impossible for the Professors to keep pace with the advancing state of Science unless the necessary materials are furnished them.""","","Clemons 22",""
"1837","financial depression which greatly reduced library expenditures","","","Clemons 22",""
"1827","Professor Lomax complained to John Hartwell Cocke about lack of modern works","""great deficiency of the modern works""","","Clemons 22",""
"1830","occasional responses from Visitors about insufficient funding complaints from Faculty","","1829-30","Clemons 22",""
"1831","remaining funds from Gilmer released to purchases","prior to this, professors used their own money","July 1831","Clemons 21",""
"1836","beginning of annual appointment of a Faculty Committee on the Library","initial purpose was to approve purchase requests from schools and select general books that don't fall into a school","","Clemons 21",""
"1857","Second term of William Wertenbaker as librarian ends","","","Clemons 21","librarian"
"1835","based on report from a committee to BoV, Brockenbrough removed and Wertenbaker reappointed for second term as librarian","","","Clemons 21",""
"1831","William Wertenbaker ends term as librarian","","","Clemons 21",""
"1831","William Brockenbrough becomes librarian","","","Clemons 21","librarians"
"1834","complaints against William Brockenbrough directed to special committee","which reported to Board of Visitors","","Clemons 21","governance,"
"1828","the Faculty appointed Inspector of the Library","soon fell into disuse","July 1828","Clemons 20-21","faculty"
"1827","Board of Visitors creates a Library Committee","mostly just inspected facilities until 1850s mostly just inspected facilities until 1850s ","","Clemons 20","BoardofVisitors"
"1834","James Madison finishes term on Board of Visitors","","","Clemons 20",""
"1826","James Madison on the Board of Visitors","","","Clemons 20",""
"1828","Jefferson's classification for Rotunda updated to reflect the eight schools","created a Miscellaneous section from 31-42 in the 1825 list","","Clemons 19",""
"1825","Jefferson's classification scheme divides into 42","","","Clemons 18",""
"1815","Jefferson's classification scheme divides into 44 sections","","","Clemons 18",""
"1783","Jefferson's classification scheme divides into 46 cases","","","Clemons 18",""
"1898","Library of Congress abandons Jefferson's original classification scheme","","","Clemons 18",""
"1828","William Wertenbaker, did clerical work for catalog under supervision of Faculty for form","","","Clemons 18","catalog"
"1825","John Vaughan Kean, 1st librarian, directed to make catalog","there weren't yet professional catalogers so it was the same as listing","","Clemons 18","catalog"
"1810","Jefferson writes of his open library for learners","""...direction of the studies of such young men as seek it.  They place themselves in the neighboring village [Charlottesville], and have use of my library and counsel, and make a part of my society. In advising the course of their reading, I endeavor to keep their attention fixed on the main objects of all science, the freedom and happiness of man. So that coming to have a share in the councils and government of their country, they will keep ever in view the sole objects of all legitimate government.""","""in the first year after Jefferson's retirement from the presidency and Washington""","Clemons 17","Jefferson, privateLibraries"
"1636","founding of Harvard","first educational property was 329 titles and over 400 volumes","","Clemons 2","forerunners, importanceofLibraries"
"1865","BoV suspends library Proctor office","","6 July 1865","Clemons 42",""
"1865","William Wertenbaker reappointed Librarian","BoV sets salaries for Librarian at $150 and $50 for Secretary of the Faculty","6 July 1865","Clemons 42",""
"1866","BoV advanced Librarians salary to $800","and he was alowed to hold additional offices, was secretary to BoV","June 1866","Clemons 43",""
"1871","William Wertenbaker resigned as secretary to BoV","salary dropped to $700 from $800, Clemons suggets he was qualified as a ""human catalog"" at this point","","Clemons 43",""
"1868","cash gift from Abiel Abbot Low","$500 to Wertenbaker, three years later another","","Clemons 43",""
"1873","British Government gave 258 vols. of Record Office","","","Clemons 43",""
"1874","students in Moral Philosophy raised $100 for ref. works on moral philosophy","","","Clemons 43-4",""
"1876","William Wilson Corcoran, Washington banker, gave $5,000 to library","available 1876 to 1881, $1,000 per year; lists of materials for old and new courses given to faculty","","Clemons 44",""
"1881","faculty considered particular English authors for the library; Richardson and Smollett, yes; Fielding by only one vote","Fielding, Richardson, and Smollett; Fielding just barely made it","","Clemons 44",""
"1876","Frederick W. Page appointed first assistant to librarian, Wertenbaker","","","Clemons 44-5",""
"1879","Page able to continue during Wertenbaker's illness","","three years later","Clemons 45",""
"1881","Frederick W. Page elected librarian","Wertenbaker, librarian emeritus full salary until 1882 when he died","","Clemons 45",""
"1882","Readjuster Party dominates in Virginia and opposition removed","new BoV removes oppositional administrators","May 1882","Clemons 45","partyPolitics"
"1882","William Aylett Winston becomes the new librarian by BoV","was a student 1850-51, was in Va. Legislature; appointed Librarian and Secretary of Faculty, and Secretary of BoV--salary $1,000 ""spoils system""","","Clemons 45",""
"1882","William M. Meigs gave $100 for books on Amer. hist.","","","Clemons 45",""
"1883","endowment bequest of $5,000 from Douglas H. Gordon","","","Clemons 45-6",""
"1884","Arthur W. Austin, admirire of Jefferson, left money and 5,000 vols","","","Clemons 46",""
"1885","Judge William Archer Cocke of Sanford, Fla. presented original constitution of Va.","","","Clemons 46",""
"1885","Readjuster Party out of power, new BoV appoints James Biscoe Baker","Page had moved on to being a Clerk for Albemarle County; librarian and Secretary to Faculty, $750","","Clemons 46",""
"1887","Page was selected as Secretary to the Chairman of the Faculty","","","Clemons 46",""
"1891","Secretaryships of Faculty and Chairman combined and given to Baker; Page resumed librarianship","Page continued till 1903","","Clemons 46",""
"1903","term of librarian Page ends","","","Clemons 46",""
"1891","Library Committee of the Faculty proposed to send member to see other catalogs","not done though...","","Clemons 47",""
"1893","card catalog suggested for library","around 53,000 volumes","","Clemons 47",""
"1861","around 30,000 vols","","","Clemons 47",""
"1894","Miss Helen W. Rice, educated librarian, imported to catalog","from Mass.","","Clemons 47",""
"1895","BoV appropriate $500 a year to make catalog cards","","June 1895","Clemons 47",""
"1895","$15.65 for Mr. R. I. Park to pay carfare to study Boston libraries cataloging","succesor of Miss Helen W. Rice","August 1895","Clemons 47",""
"1895","library open six hours a day on weekdays","","","Clemons 48",""
"1878","reference collection started","","","Clemons 48",""
"1879","books for ""collateral reading""","","","Clemons 48",""
"1878","Frederick Page started a form of correspondence reference service","relaxing the lending of books outside the U. Commun.","","Clemons 48",""
"1881","voted to sell Lee Papers to gov't, but BoV decided to keep em","","","Clemons 48-9",""
"1890","policy of excluding dancing from the Library set, except for the final dance in the Rotunda","","","Clemons 49",""
"1892","group of young ladies successfully petitioned for a german--dance in Rotunda, only real example","","April 1892","Clemons 49",""
"1850s","Rotunda annex built","apparently considered ugly and a fire hazard","","Clemons 50",""
"1861","student reading room made","more permanent in 1875","","Clemons 51",""
"1875","more permanent student reading room","temp from 1861","","Clemons 51",""
"1869","Mathematics reading room in Annex","","","Clemons 51",""
"1880","mention of Professor's reading club","","","Clemons 51",""
"1886","BoV willing to transfer books to classrooms and labs","","","Clemons 51",""
"1895","four library collections: Astronomy (1886) Biology and Agriculture (1890), Chem (1885) Law (1894)","","","Clemons 51",""
"1886","Astronomy Library established Leander McCormick Observator","","","Clemons 51",""
"1890","Biology and Agriculture Library transferred/established","","","Clemons 51",""
"1885","Chemistry Library established","","","Clemons 51",""
"1894","Law Library Established","in Annex, near classrooms","","Clemons 51",""
"1894","Faculty recommend new library building, after Rotunda","$50,000 to build, convert library to Alumni hall, $30,000 a year from Fayerweather Fund for dorms, rentals from dorms should be applied to library materials","June 1894","Clemons 52",""
"1894","Alumni Bulliten starts, suggests name ""Alumni Memorial Library"" in July (2nd issue)","campaign struggles","May 1894","Clemons 52",""
"1895","Rotunda burns","William Echols attempts to dynamite the connection, but fails; thousands of reference books rescued, statue","October 1895","Clemons 53",""
"1824","Frances Walker Gilmer was sent to England to select faculty and books for the library","","","chron96",""
"1825","First books arrive","","Jan. 1825","chron96",""
"1825","Books housed in Pavilion VII on West Lawn until Rotunda completed in 1826","","","chron96",""
"1825","John Vaughan Kean, a student, was selected first librarian by Thomas Jefferson","","","chron96",""
"1826","Books moved to Rotunda. Library open only one hour a day on weekdays, books allowed to be checked out only one day a week with professor's approval.","","Sept. 1826","chron96",""
"1826-31","William Wertenbaker - second librarian","","","chron96",""
"1827","Visitor's Library Board established","","","chron96",""
"1828","Printed catalogue of the 8,000 volumes in the library completed.  Though Jefferson intended his personal library to go to the University it had to be sold to pay debts.","","","chron96",""
"1831-35","William Brokenbrough - third librarian. Let go because of complaints","","","chron96",""
"1835-57","William Wertenbaker once more librarian","","","chron96",""
"1836","Appointment of a Faculty Library Committee to approve library purchases.","","","chron96",""
"1836","James Madison left the library $1,500 which was merged into the general university fund. Only in 1852 did the library get access to the money.","","","chron96",""
"1850-53","Rotunda annex built","","","chron96",""
"1850's","Prosperous period for the University because of high enrollment. Library benefited along with other parts of the university.","","","chron96",""
"1856","Board of Visitors proposed hiring a bibliographer to prepare a ""want list."" The faculty protested and the Board later dropped the idea.","","","chron96",""
"1857-61","Thomas Berkeley Holcombe appointed librarian.","","","chron96",""
"1825-1860","Library grew from 8,000 to 30,000 volumes","","","chron96",""
"1861-65","Robert Riddick Prentis - acting librarian and proctor. The University stayed open during the Civil War, but just barely","","","chron96",""
"1865-1881","Reconstruction - The faculty borrowed money to fix up buildings. New schools opened including Applied Math, Agriculture, and Geology. The library was not equipped to serve the new schools because it lacked the necessary funds.","","","chron96",""
"1929","A committee appointed to study cataloging alternatives recommended the library begin using the Library of Congress classification system as soon as circumstances were favorable.","","","chron96",""
"1938","Alderman Library opens. Build with Public Works Administration funds and money raised by a bond issue.","","Apr. 1938","chron96",""
"1938","(13th) Formal dedication of Alderman Library. Before Alderman opened there were 22 book collections consolidated into three departmental libraries, Engineering, Law, and Medicine, and ten special or laboratory collections, Astronomy, Chemistry, Fine Arts, Geology, Institute for Research in the Social Sciences, Mathematics, Music, Physics, Public Administration and Rural Social Economics","","Jun. 1938","chron96",""
"1933","Library begins cataloging with the LC classification system","","July 1933","chron96",""
"1947","Bibliographical Society of the University of Virginia is organized by Fredson Bowers.","","","chron96",""
"1950-1956","Jack PPreston Dalton - University Librarian","","","chron96",""
"1956-1967","John Cook Wyllie - University Librarian","","","chron96",""
"1960","(30th) Clifton Waller Barrett Library officially presented to the University","","April 1960","chron96",""
"1967-93","Ray W. Frantz, Jr. - University Librarian","","","chron96",""
"1967","New Stacks addition completed","","","chron96",""
"1968","Manual door check of books and bags begun","","Feb. 1968","chron96",""
"1968","By 1968 seventeen members had been added to the library staff","","","chron96",""
"1969","Librarians status changed from state classified to faculty","","","chron96",""
"1969","Alderman designated a U.S. Regional depository","","July 1969","chron96",""
"1968","Partially automated circulation system implemented","","Feb. 1968","chron96",""
"1969","Associates of the University of Virginia Library founded","","","chron96",""
"1970","Fifteen new positions added","","","chron96",""
"1970","Fiske Kimball Fine Arts Library opens","","Feb. 1970","chron96",""
"1972","Total staff about 87 positions.","","","chron96",""
"1973","Education Library opened","","Sept. 1973","chron96",""
"1973","Major thefts from the Rare Books Room vault discovered","","Dec. 1973","chron96",""
"1994","(23rd) Four-millionth volume added, Rita Dove's ""Lady Freedom Among Us.""","","23 Oct. 1994","chron96",""
"1995","Two new Electronic Centers open in Alderman: the Geographic Information Center and the Special Collections Digital Center","","","chron96",""
"1995","Planning for second generation online catalog begins","","","chron96",""
"1995","University Library World Wide Web page is started","","","chron96",""
"1995","Library's Short Course series begins","","Jan. 1995","chron96",""
"1995","In an effort to free up much needed space, the Library opens Ivy Stacks which now houses over 300,000 seldomly-used materials from all UVA libraries.","","Jan. 1995","chron96",""
"1995","Centennial celebration of the burning of the Rotunda","","Oct. 1995","chron96",""
"1995","Library receives rare book and manuscript collection valued at $25 million and $2.5 million towards new Special Collections Library, as part of $700 million University capital campaign","","Oct. 1995","chron96",""
"1995","Alderman reorganizes as Collection Development is absorbed into two new department- Humanities and Social Sciences Sections","","Nov. 1995","chron96",""
"1996","Digital Media and Music Center opens in Clemons","","Jan. 1996","chron96",""
"1895","comprehensive plan for rebuilding after Rotunda fire","Rotunda after the fire remains the same, aside from a few repairs","four weeks later, Nov/Dec 1895","Clemons 57-8",""
"1895","number of books before the fire: 56,733 to 17,194","but college libraries are all much bigger than 56,733, except W&M which had been destroyed by fire in 1859","Oct. 1895","Clemons 59-60",""
"1895","Books from Rotunda on the Law brought to Brooks Museum","remained until November 1898, card catalog had been saved, but books gone","","Clemons 60",""
"1896","in University Catalog for 1896-7, expect Visitors to allocate money to library","","","Clemons 63",""
"1825","Jefferson achieved a nucleus library ""superior to that of any other previous American college or university at its beginning""","","","Clemons 64",""
"1904","University Catalogue for 1904-05 announces ""more than sixty thousand volumes"" mostly gifts and donations","""This library phoenix that arose from the ashes was a scion of large wingspread, but its body lacked the compact symmetry of its predecessor."" Notable collections icnlude Martin Julius Hertz: classical materials; Thomas Randolph Price: Greek and classical learning; Professor George Frederick Holmes: William Andrews Clark gave money towards this; James Albert Harrison: was English, Romance Languages, and then Teutonic Languages--southern authors esp. Edgar Allen Poe; Frederick Milliam Markey Holliday; Rev. Haslett McKim: bibliography, botany, theology; Barnard Shipp: southern history and development; General Bradley Tyler Johnson: law books; Judge Lambert Tree: law; James Bolton: medical; James L. Leitch: medical; Ormond Stone, Astronomy","","Clemons 64-6",""
"1886","Ormond Stone began to seek astronomical books, making the Library at the observatory excellent","","","Clemons 66-7",""
"1899","Endowment funds, D'Arcy Paul ($1,000: periodicals modern languages) Alfred Henry Byrd ($10,180, later Virginiana)","opened the way for emphasis on research on Southern history with the Lee Papers; Byrd became available in 1900: ""continuing selection and acquisiton of historical, literary, and social material not immediately connected with the undergraduate curriculum""","","Clemons 67",""
"1895-98","reading in Library eliminated","","","Clemons 67",""
"1898","library moved back to Rotunda","increased hours to ten a day, trusted students could search for books on their own(!!)","Nov. 1898","Clemons 68",""
"1903","John Shelton Patton succeeds Frederick Page as librarian","had been Mayor of Charlottesville and Superintendent of Schools; gap between service","appointed June 1903","Clemons 69",""
"1903","salary for Patton $1,150","but continued to develop under the new President","","Clemons 70",""
"1914","Librarian salary $2,000","","","Clemons 70",""
"1921","Librarian salary $3,000","","","Clemons 70",""
"1926","Librarian salary $3,600","","","Clemons 70",""
"1903","first President of UVa: Edwin Anderson Alderman","education expansion, first in NC; ""his primary concern was in the general cultural effect of a Library rather than in the support of college coures or, as yet at least, in research"" (73)","","Clemons 70",""
"1907-1909","First experiment in evening hours for the library","","","Clemons 73",""
"1914","Evening hours added again and successful this time","","","Clemons 73",""
"1903","Assistant Librarian continued with Anna Seeley Tuttle","","","Clemons 73",""
"1911","new course in Library Methods","given by Librarian Patton","Summer Quarter 1911","Clemons 73",""
"1915","second library course added, taught by Asst. Lib. Mary Louise Dinwiddie","a great deal on classification and cataloging of books","","Clemons 74",""
"1857","Librarian Holcombe enjoined to compile author and subject lists by a cataloging method ""devised by Professor Gildersleeve"" and modified by BoV","","","Clemons 74",""
"1904","Department of Graduate Studies organized: Richard Heath Dabney first Dean","","","Clemons 71",""
"1906","Library Committee of the BoV no longer appointed, and Library Committee of the Faculty reported to the President: President decided budgets","","","Clemons 72",""
"1902","John Shelton Patton accepts appointment to be librarian","","Nov. 1902","Clemons 69",""
"1903?","Dewey Decimal Classification adopted","","""then"" ""commendable progress was made by Miss Tuttle"" on the ""second university collection""","Clemons 75",""
"1911-12","Katherine Crenshaw Ricks as Asst. Librarian","","","Clemons 75",""
"1912","Mary Louise Dinwiddie appointed Asst. Libr.","","","Clemons 75",""
"1950","Asst. Libr. Mary Louise Dinwiddie retires after several decades of service","","","Clemons 75",""
"1912","Lilie Estelle Dinwiddie became an Assistant (not Asst. Libr.)","in charge of circulation in 1914","","Clemons 75",""
"1914","Assistant Lilie Estelle Dinwiddie becomes first circulation librarian","remains in post till 1919","","Clemons 75",""
"1901","Herbert Putnam at Library of Congress announces willingness to distribute printed library cards","","","Clemons 76",""
"1909","Faculty Library Committee approved the acquisition of printed library cards from the Library of Congress","","","Clemons 76",""
"1913","beginning of *Bulletin of the University of Virginia Library*","ceases in 1923","","Clemons 76",""
"1917","US enters WWI; UVa becomes like a military training post","professors and students enlisted, significant change; training shifted to Chemistry and Medicine (78)","","Clemons 77",""
"1920","controversy over the Medical Department going to Richmond","","1920-21 session","Clemons 78",""
"1906","donation of books by Grace Dodge of NYC, 1000 vols. for students reading room","","","Clemons 78",""
"1907","gift of books on Geology previously belonging to Jed Hotchkiss, led to establishment of Geology Library in Brooks Museum","","","Clemons 79",""
"1907","donation from bequest of Edward Wilson James of 12,000 books","","","Clemons 79",""
